"","agevisit Est.","Random Intercept Std.","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc","Coef.","CI","P","Pc"
"animals","-0.236410064584071","4.05883827680084","-1.83","-2.92 to -0.74","0.001101445","0.0110144511480191"," 0.10","-0.66 to 0.85","0.803278855",">.99","-1.11","-1.91 to -0.31","0.006940820","0.0694082040161356"," 0.00","0 to 0","0.452805224",">.99","-0.17","-0.32 to -0.02","0.031534476","0.315344763593489"
"letter_fluency","-0.286504347902429","9.47089594185782","-1.50","-3.87 to 0.86","2.154733e-01",">.99","-0.05","-1.7 to 1.6","9.516218e-01",">.99","-1.46","-3.2 to 0.29","1.032599e-01",">.99"," 0.00","0 to 0","4.615342e-03","0.0461534238299617","-0.60","-0.9 to -0.3","7.937241e-05","0.000793724135838657"
"hvlt_total_recall","-0.212080562103019","3.75629646459924","-1.92","-2.92 to -0.92","1.841170e-04","0.00184117007032345"," 0.58","-0.11 to 1.27","1.020442e-01",">.99","-0.38","-1.11 to 0.36","3.177033e-01",">.99"," 0.00","0 to 0","7.067448e-01",">.99","-0.32","-0.46 to -0.18","5.510271e-06","5.51027107552247e-05"
"hvlt_RDI","-0.0520622255559746","1.30438107709373","-0.56","-0.94 to -0.18","0.004120749","0.0412074873966594"," 0.11","-0.15 to 0.38","0.392598327",">.99"," 0.00","-0.28 to 0.28","0.985176203",">.99"," 0.00","0 to 0","0.226432920",">.99","-0.10","-0.15 to -0.04","0.001238922","0.0123892222797056"
"hvlt_trial4_correct","-0.109310155342207","1.9692225135253","-0.67","-1.25 to -0.08","0.02677996","0.267799553675205"," 0.36","-0.05 to 0.76","0.08405183","0.840518270463387","-0.07","-0.5 to 0.36","0.74858190",">.99"," 0.00","0 to 0","0.16430824",">.99","-0.12","-0.21 to -0.03","0.01053545","0.105354512505984"
"jolo_total_correct","-0.057708702119616","1.66556098312834","-0.99","-1.45 to -0.54","2.342049e-05","0.000234204933579814"," 0.12","-0.19 to 0.44","4.514342e-01",">.99","-0.44","-0.77 to -0.1","1.111527e-02","0.111152718633966"," 0.00","0 to 0","4.114625e-02","0.411462520275786","-0.06","-0.13 to 0.01","7.616812e-02","0.761681217064411"
"wais_digit_symbol_score","-0.548374628555552","8.9712281505845","-4.85","-7.1 to -2.6","2.979551e-05","0.000297955144278213"," 0.27","-1.3 to 1.84","7.399048e-01",">.99","-1.63","-3.29 to 0.03","5.647031e-02","0.564703145050868"," 0.00","0 to 0","9.817574e-01",">.99","-0.71","-1 to -0.42","1.453928e-06","1.45392803983109e-05"
"letter_number_sequencing_total","-0.0953465845665613","1.7262692064458","-0.95","-1.42 to -0.48","9.284507e-05","0.000928450704358467"," 0.35","0.02 to 0.67","3.706367e-02","0.370636690029434","-0.11","-0.46 to 0.23","5.328409e-01",">.99"," 0.00","0 to 0","7.767622e-01",">.99","-0.17","-0.24 to -0.1","1.257534e-06","1.25753361062284e-05"
"trailsbminusa","2.26692223186053","40.2739831083137","32.53","21.3 to 43.75","2.262233e-08","2.26223290349336e-07","-8.53","-16.3 to -0.79","3.224038e-02","0.322403779170016"," 5.00","-3.21 to 13.23","2.355344e-01",">.99"," 0.00","-0.01 to 0.01","9.564707e-01",">.99"," 3.88","2.24 to 5.54","3.926713e-06","3.92671316371052e-05"
"moca_score_unadjusted","-0.154335912743395","2.52594661392337","-1.75","-2.43 to -1.07","7.241867e-07","7.24186687072809e-06"," 0.20","-0.27 to 0.68","4.022512e-01",">.99","-0.37","-0.87 to 0.13","1.504967e-01",">.99"," 0.00","0 to 0","3.215125e-03","0.0321512473725197","-0.33","-0.43 to -0.24","2.137197e-11","2.1371974618813e-10"
"1","agevisit Coef.","Intercept","GBA_carrier1","GBA_carrier1","GBA_carrier1","GBA_carrier1","MAPT1","MAPT1","MAPT1","MAPT1","APOE_E4","APOE_E4","APOE_E4","APOE_E4","led","led","led","led","gds_total","gds_total","gds_total","gds_total"
