"","Estimate","Std. Error","t value","Pr(>|t|)","CI0","CI1"
"(Intercept)",36.7300578867432,6.47882151079647,5.66924985130942,1.92623493401293e-07,24.0315677255821,49.4285480479042
"GBA_carrier1",-6.00559077311485,2.06110960402815,-2.9137658479577,0.00456239009053731,-10.04536559701,-1.96581594921967
"site",-0.475519765837765,1.23333274968674,-0.385556749351337,0.700788198610041,-2.89285195522377,1.94181242354824
"ApoE1",3.83854530866688,5.21877106115419,0.735526671640956,0.464043561366211,-6.39024597119532,14.0673365885291
"ApoE2",-1.436503039234,5.86298728589537,-0.245012136166456,0.807037581546645,-12.9279581195889,10.0549520411209
"ApoE3",1.60834710414928,5.08180227229436,0.31649147644289,0.752405439083718,-8.35198534954768,11.5686795578462
"ApoE4",-0.00232313607991771,5.22072209241629,-0.000444983670609922,0.999645997104823,-10.2349384372158,10.230292165056
"ApoE5",2.45298844502223,7.21473845818042,0.339996863259944,0.734697641248093,-11.6878989330114,16.5938758230559
"education",0.0302258047765354,0.196754111740362,0.153622226794536,0.878271744991709,-0.355412254234574,0.415863863787645
"MAPT1",-0.606472648515203,1.18730450895888,-0.510797898886956,0.610816716392103,-2.9335894860746,1.72064418904419
"gender1",-2.04138163901557,1.27351777107514,-1.60294711654646,0.112656103819013,-4.53747647032284,0.454713192291704
"ageAtOnset",-0.375455324204704,0.0511457835794953,-7.3408851703511,1.17749645052329e-10,-0.475701060020515,-0.275209588388893
